"Nome da campanha","Nome do anúncio","Nome do conjunto de anúncios","Segmentos de público","Status de veiculação","Nível de veiculação",Frequência,Impressões,"Hook Rate","Reproduções de 100% do vídeo","Valor usado (BRL)","Cliques no link","Visualizações da página de destino do site","CPC (custo por clique no link)","CTR (todos)","CPM (custo por 1.000 impressões)","Tipo de resultado","Custo por resultado","Finalizações de compra iniciadas","Taxa de conversão",Resultados,"ROAS (retorno sobre o investimento em publicidade) das compras","Tipo de valor de resultado","Valor dos resultados","Início dos relatórios","Encerramento dos relatórios"
"[C] [LM - TESTE] [ABO]","ADS 2","Evelyn Regly BM - LM",prospecting,not_delivering,ad,2.61163511,549078,0.09161722,,4871.62053769,3019,2576,1.61365371,,8.8723652,"Compras no site",57.3131828,410,0.02815502,85,3.16122117,"Valor de conversão da compra no site",15400.27,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",AD3,"[TOFU] [TIK + ORG ] [ABERTO]",engaged,inactive,ad,5.88244963,540403,0,,12132.73810703,5189,3775,2.33816498,,22.45127823,"Compras no site",41.83702796,943,0.05588745,290,3.82336119,"Valor de conversão da compra no site",46387.84,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]",AD2,"Arte - Organica Lm",prospecting,not_delivering,ad,2.51368152,540253,0,,4158.40298415,2461,1952,1.68972084,,7.69714001,"Compras no site",66.00639657,326,0.02559935,63,2.5772923,"Valor de conversão da compra no site",10717.42,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]","AD - RMKT","[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]",existing,inactive,ad,6.67169816,538793,0.00047514,,17100.35749432,5757,4552,2.97035913,,31.7382696,"Compras no site",62.63867214,916,0.04742053,273,3.98685174,"Valor de conversão da compra no site",68176.59,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]","AD - RMKT DANI","[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]",engaged,active,ad,4.06987662,528795,0.09046039,,19143.2651964,8717,6484,2.19608411,,36.20167588,"Compras no site",51.46039031,1436,0.04267523,372,3.80083226,"Valor de conversão da compra no site",72760.34,2026-01-01,2026-05-25
"[C] [TONS] [PB DR]","AD - RMKT","[PUBLICO ENG.] [DR]",prospecting,inactive,ad,3.13909886,516184,0,,10818.79451788,5958,5004,1.81584332,,20.95918223,"Compras no site",62.89996813,788,0.02886875,172,3.60430175,"Valor de conversão da compra no site",38994.2,2026-01-01,2026-05-25
"[C] [LM - RMKT] [ADV. ABO]","AD - BOFU","[RMKT LARANJA MORO-REATIVAÇÃO BASE QUENTE]",existing,active,ad,6.40802983,501800,0.10632921,,14421.20864678,3489,2701,4.13333581,,28.73895705,"Compras no site",47.2826513,852,0.0874176,305,4.24068339,"Valor de conversão da compra no site",61155.78,2026-01-01,2026-05-25
"[C] [LM - PRINCIPAL][EX. BASE] [ADV. +] [CBO]","AD - BOFU ANA ELISA 22K","[EXCLUSÃO BASE] [ADV. +]",engaged,active,ad,6.41039854,499588,0.15745775,,12649.92929233,15218,9396,0.83124782,,25.32072286,"Compras no site",56.72614032,829,0.0146537,223,3.33592616,"Valor de conversão da compra no site",42199.23,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","AD - ANA ELISA MOFU","[BM] [ANA ELISA]",prospecting,not_delivering,ad,2.46351957,498168,0.14270487,,8639.40067772,4565,3624,1.89253027,,17.3423437,"Compras no site",63.52500498,532,0.02979189,136,2.77076743,"Valor de conversão da compra no site",23937.77,2026-01-01,2026-05-25
"[C] [LM - TESTE] [ABO]","ADS - DANI — Cópia","[BOFU] [ADV+ ABERTO] [ESTATICO]",existing,not_delivering,ad,7.07410998,496171,0.02101695,,6880.38171381,4228,2691,1.62733721,,13.86695658,"Compras no site",40.47283361,529,0.04020814,170,5.38761824,"Valor de conversão da compra no site",37068.87,2026-01-01,2026-05-25
